worker_id,first_name,last_name,salary,joining_date,department
1,Megan,Li,492720,26:31.7,Admin
2,Katherine,Mccoy,251979,47:06.7,HR
3,Robert,Banks,447386,57:31.6,Marketing
4,Jonathan,Miller,270500,11:21.1,HR
5,William,Elliott,71225,54:32.3,HR
6,Richard,Le,185746,45:33.0,Engineering
7,Kristen,Davis,318055,36:46.6,Account
8,Kevin,Thomas,304766,30:42.8,Admin
9,Thomas,Harris,262302,22:34.8,Admin
10,Brandy,Sanchez,460936,48:18.7,Account
11,Rebecca,Mack,485081,20:15.9,Engineering
12,William,Rodriguez,209023,13:13.3,HR
13,Juan,Murray,299874,17:50.2,HR
14,Katelyn,Harris,237720,00:51.7,Engineering
15,Christine,Carr,355860,11:26.8,Engineering
16,John,Castro,164526,06:48.2,Account
17,Renee,Holland,314601,53:02.4,Account
18,Tonya,Osborn,123019,36:59.0,Engineering
19,Lisa,Foster,197764,10:51.4,Marketing
20,Rachel,Barnes,123267,23:25.2,Account
21,Kyle,Davis,446259,12:40.2,Engineering
22,Jessica,Rose,99718,55:39.2,Marketing
23,Rachel,Jones,374203,03:16.9,Admin
24,Gabriella,Myers,469117,23:35.5,Admin
25,Thomas,Berg,181337,31:41.1,HR
26,Craig,Sosa,329216,08:24.9,HR
27,Ryan,Weber,419713,57:30.9,Admin
28,Cheryl,Lowe,474787,54:24.8,HR
29,Robin,Curry,365570,48:27.2,Account
30,Tammy,Johnson,127050,48:05.4,Marketing
31,Thomas,Dyer,212606,21:11.5,Account
32,Michelle,Swanson,101780,35:17.5,Marketing
33,Jorge,Henson,432642,06:34.2,Engineering
34,Linda,Tran,88662,13:30.5,Engineering
35,Ana,Silva,495893,12:18.4,Admin
36,Alexis,Hammond,408604,36:21.8,Engineering
37,Jennifer,Davis,223118,09:00.0,HR
38,Raymond,Craig,297538,22:19.3,Account
39,Mallory,Elliott,343503,35:25.9,Marketing
40,Elizabeth,Carpenter,102796,05:03.1,Engineering
41,Aaron,Rivera,235488,39:55.6,Engineering
42,Tristan,Bennett,277631,36:10.0,Marketing
43,Mikayla,Hardin,215778,05:50.5,Marketing
44,John,Bradley,370280,38:34.9,Engineering
45,Mark,Turner,385766,42:49.3,Marketing
46,Monica,Smith,157205,33:35.0,Account
47,James,Martinez,339681,10:02.8,Marketing
48,Ashley,Smith,300090,56:52.6,Marketing
49,John,Baker,282098,18:00.1,HR
50,Tammy,Tran,323339,52:30.9,Admin
51,Linda,Flores,186572,59:49.7,Account
52,Seth,Cunningham,82652,49:31.3,Admin
53,Christopher,Ryan,472066,42:58.8,Marketing
54,Luke,Allen,337676,49:28.3,Marketing
55,William,Mckinney,57361,11:27.0,Marketing
56,Sarah,Owens,98901,15:31.6,Engineering
57,Daniel,Ruiz,427332,07:38.3,Account
